lmsys_model_name,normalized_name,elo_score,rank,organization,model_family,model_type
Gemini-2.5-Pro-Preview-05-06,gemini25propreview0506,1446,1,Google,,
Gemini-2.5-Flash-Preview-05-20,gemini25flashpreview0520,1418,2,Google,,
o3-2025-04-16,o320250416,1409,2,OpenAI,,
ChatGPT-4o-latest (2025-03-26),gpt4olatest20250326,1405,2,OpenAI,,
Grok-3-Preview-02-24,grok3preview0224,1399,3,xAI,,
GPT-4.5-Preview,gpt45preview,1394,4,OpenAI,,
Gemini-2.5-Flash-Preview-04-17,gemini25flashpreview0417,1387,6,Google,,
DeepSeek-V3-0324,deepseekv30324,1368,8,DeepSeek,,
GPT-4.1-2025-04-14,gpt4120250414,1365,8,OpenAI,,
Hunyuan-Turbos-20250416,hunyuanturbos20250416,1356,8,Tencent,,
DeepSeek-R1,deepseekr1,1354,9,DeepSeek,,
Gemini-2.0-Flash-001,gemini20flash001,1351,10,Google,,
o1-2024-12-17,o120241217,1346,11,OpenAI,,
Mistral Medium 3,mistralmedium3,1343,10,Mistral,,
o4-mini-2025-04-16,o4mini20250416,1343,10,OpenAI,,
Gemma-3-27B-it,gemma327bit,1339,13,Google,,
Qwen3-235B-A22B,qwen3235ba22b,1337,13,Alibaba,,
Qwen2.5-Max,qwen25max,1337,14,Alibaba,,
o1-preview,o1preview,1331,14,OpenAI,,
Qwen3-32B,qwen332b,1324,18,Alibaba,,
o3-mini-high,o3minihigh,1321,20,OpenAI,,
GPT-4.1-mini-2025-04-14,gpt41mini20250414,1319,20,OpenAI,,
Gemma-3-12B-it,gemma312bit,1317,20,Google,,
DeepSeek-V3,deepseekv3,1315,20,DeepSeek,,
QwQ-32B,qwq32b,1310,21,Alibaba,,
Gemini-2.0-Flash-Lite,gemini20flashlite,1309,23,Google,,
GLM-4-Plus-0111,glm4plus0111,1307,21,Zhipu,,
Qwen-Plus-0125,qwenplus0125,1307,21,Alibaba,,
Command A (03-2025),commanda032025,1303,24,Cohere,,
o3-mini,o3mini,1302,26,OpenAI,,
Step-2-16K-Exp,step216kexp,1301,24,StepFun,,
Llama-3.1-Nemotron-Ultra-253B-v1,llama31nemotronultra253bv1,1300,23,Nvidia,,
o1-mini,o1mini,1300,27,OpenAI,,
Hunyuan-TurboS-20250226,hunyuanturbos20250226,1299,23,Tencent,,
Gemini-1.5-Pro-002,gemini15pro002,1299,27,Google,,
Claude 3.7 Sonnet (thinking-32k),claude37sonnetthinking32k,1296,27,Anthropic,,
Llama-3.3-Nemotron-Super-49B-v1,llama33nemotronsuper49bv1,1293,27,Nvidia,,
Hunyuan-Turbo-0110,hunyuanturbo0110,1293,27,Tencent,,
Claude 3.7 Sonnet,claude37sonnet,1287,34,Anthropic,,
Gemma-3n-e4b-it,gemma3ne4bit,1286,33,Google,,
Qwen3-30B-A3B,qwen330ba3b,1286,34,Alibaba,,
Grok-2-08-13,grok20813,1284,37,xAI,,
Yi-Lightning,yilightning,1284,37,01 AI,,
GPT-4o-2024-05-13,gpt4o20240513,1281,38,OpenAI,,
Claude 3.5 Sonnet (20241022),claude35sonnet20241022,1280,41,Anthropic,,
Qwen2.5-plus-1127,qwen25plus1127,1279,37,Alibaba,,
Deepseek-v2.5-1210,deepseekv251210,1276,41,DeepSeek,,
Gemma-3-4B-it,gemma34bit,1272,41,Google,,
Athene-v2-Chat-72B,athenev2chat72b,1272,45,NexusFlow,,
GLM-4-Plus,glm4plus,1270,47,Zhipu AI,,
GPT-4.1-nano-2025-04-14,gpt41nano20250414,1269,45,OpenAI,,
GPT-4o-mini-2024-07-18,gpt4omini20240718,1269,47,OpenAI,,
Hunyuan-Large-2025-02-10,hunyuanlarge20250210,1268,44,Tencent,,
Gemini-1.5-Flash-002,gemini15flash002,1268,47,Google,,
Llama-4-Maverick-17B-128E-Instruct,llama4maverick17b128einstruct,1266,47,Meta,,
Llama-3.1-Nemotron-70B-Instruct,llama31nemotron70binstruct,1265,47,Nvidia,,
Meta-Llama-3.1-405B-Instruct-bf16,metallama31405binstructbf16,1265,49,Meta,,
Claude 3.5 Sonnet (20240620),claude35sonnet20240620,1265,50,Anthropic,,
Meta-Llama-3.1-405B-Instruct-fp8,metallama31405binstructfp8,1264,51,Meta,,
Gemini Advanced App (2024-05-14),geminiadvancedapp20240514,1263,51,Google,,
Grok-2-Mini-08-13,grok2mini0813,1263,51,xAI,,
GPT-4o-2024-08-06,gpt4o20240806,1262,52,OpenAI,,
Qwen-Max-0919,qwenmax0919,1260,52,Alibaba,,
Hunyuan-Standard-2025-02-10,hunyuanstandard20250210,1257,50,Tencent,,
Gemini-1.5-Pro-001,gemini15pro001,1256,62,Google,,
Deepseek-v2.5,deepseekv25,1255,62,DeepSeek,,
Qwen2.5-72B-Instruct,qwen2572binstruct,1254,64,Alibaba,,
Llama-3.3-70B-Instruct,llama3370binstruct,1253,64,Meta,,
GPT-4-Turbo-2024-04-09,gpt4turbo20240409,1253,64,OpenAI,,
Mistral-Large-2407,mistrallarge2407,1248,68,Mistral,,
Athene-70B,athene70b,1247,70,NexusFlow,,
Mistral-Small-3.1-24B-Instruct-2503,mistralsmall3124binstruct2503,1246,62,Mistral,,
GPT-4-1106-preview,gpt41106preview,1246,70,OpenAI,,
Mistral-Large-2411,mistrallarge2411,1245,70,Mistral,,
Meta-Llama-3.1-70B-Instruct,metallama3170binstruct,1244,70,Meta,,
Claude 3 Opus,claude3opus,1244,71,Anthropic,,
Amazon Nova Pro 1.0,amazonnovapro10,1241,71,Amazon,,
GPT-4-0125-preview,gpt40125preview,1241,72,OpenAI,,
Llama-3.1-Tulu-3-70B,llama31tulu370b,1240,70,Ai2,,
Llama-4-Scout-17B-16E-Instruct,llama4scout17b16einstruct,1239,70,Meta,,
Claude 3.5 Haiku (20241022),claude35haiku20241022,1234,79,Anthropic,,
Reka-Core-20240904,rekacore20240904,1232,79,Reka AI,,
Gemini-1.5-Flash-001,gemini15flash001,1223,83,Google,,
Jamba-1.5-Large,jamba15large,1218,83,AI21 Labs,,
Gemma-2-27B-it,gemma227bit,1216,84,Google,,
Mistral-Small-24B-Instruct-2501,mistralsmall24binstruct2501,1214,84,Mistral,,
Qwen2.5-Coder-32B-Instruct,qwen25coder32binstruct,1214,84,Alibaba,,
Amazon Nova Lite 1.0,amazonnovalite10,1213,84,Amazon,,
Gemma-2-9B-it-SimPO,gemma29bitsimpo,1213,84,Princeton,,
Command R+ (08-2024),commandr+082024,1212,84,Cohere,,
Gemini-1.5-Flash-8B-001,gemini15flash8b001,1209,86,Google,,
Llama-3.1-Nemotron-51B-Instruct,llama31nemotron51binstruct,1208,84,Nvidia,,
Aya-Expanse-32B,ayaexpanse32b,1206,88,Cohere,,
Nemotron-4-340B-Instruct,nemotron4340binstruct,1206,88,Nvidia,,
GLM-4-0520,glm40520,1203,88,Zhipu AI,,
Llama-3-70B-Instruct,llama370binstruct,1203,92,Meta,,
OLMo-2-0325-32B-Instruct,olmo2032532binstruct,1202,86,Allen AI,,
Reka-Flash-20240904,rekaflash20240904,1202,88,Reka AI,,
Phi-4,phi4,1202,92,Microsoft,,
Claude 3 Sonnet,claude3sonnet,1198,96,Anthropic,,
Amazon Nova Micro 1.0,amazonnovamicro10,1194,96,Amazon,,
Gemma-2-9B-it,gemma29bit,1189,102,Google,,
Command R+ (04-2024),commandr+042024,1186,102,Cohere,,
Hunyuan-Standard-256K,hunyuanstandard256k,1185,97,Tencent,,
Qwen2-72B-Instruct,qwen272binstruct,1184,103,Alibaba,,
GPT-4-0314,gpt40314,1183,103,OpenAI,,
